Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-03-14T19:38:43.480Z","Included","auto","No","0","36103","1290240","10602","1336945","0.43"
"2026-03-14T19:35:06.527Z","Included","auto","No","0","21497","711168","7740","740405","0.25"
"2026-03-14T19:29:56.798Z","Included","auto","No","0","8601","855040","3976","867617","0.25"
"2026-03-14T19:26:26.727Z","Included","auto","No","0","32023","974790","8068","1014881","0.33"
"2026-03-14T19:23:28.028Z","Included","auto","No","0","152264","624128","3084","779476","0.36"
"2026-03-14T17:30:09.377Z","Included","auto","No","0","99064","5906944","30710","6036718","1.78"
"2026-03-14T17:29:23.078Z","Included","auto","No","0","5070","349184","1872","356126","0.10"
"2026-03-14T17:26:45.647Z","Included","auto","No","0","73572","315392","5760","394724","0.21"
"2026-03-14T17:23:10.662Z","Included","auto","No","0","57187","875520","8555","941262","0.34"
"2026-03-14T02:18:58.352Z","Included","auto","No","0","853","42496","60","43409","0.01"
"2026-03-14T02:17:46.317Z","Included","auto","No","0","6220","159232","3229","168681","0.07"
"2026-03-14T02:15:39.835Z","Included","auto","No","0","7453","98304","5228","110985","0.07"
"2026-03-14T02:14:46.063Z","Included","auto","No","0","4166","117248","1252","122666","0.04"
"2026-03-14T02:13:42.512Z","Included","auto","No","0","9451","243712","3081","256244","0.09"
"2026-03-14T02:08:32.271Z","Included","auto","No","0","181780","305152","6220","493152","0.34"
"2026-03-14T01:01:22.737Z","Included","auto","No","0","14014","1596416","6026","1616456","0.45"
"2026-03-14T00:59:18.142Z","Included","auto","No","0","26566","1018368","5740","1050674","0.32"
"2026-03-14T00:57:18.077Z","Included","auto","No","0","13177","1143296","4457","1160930","0.33"
"2026-03-14T00:12:19.516Z","Included","auto","No","0","46736","4990976","18529","5056241","1.42"
"2026-03-14T00:09:23.003Z","Included","auto","No","0","19592","1235968","8243","1263803","0.38"
"2026-03-14T00:07:26.040Z","Included","auto","No","0","4161","578560","1648","584369","0.16"
"2026-03-14T00:03:46.695Z","Included","auto","No","0","110723","1732096","9006","1851825","0.63"
"2026-03-14T00:00:35.910Z","Included","auto","No","0","156870","1572352","9253","1738475","0.64"
"2026-03-13T23:58:50.600Z","Included","auto","No","0","27732","1202688","11585","1242005","0.40"
"2026-03-13T23:31:01.834Z","Included","auto","No","0","29182","920576","10726","960484","0.33"
"2026-03-13T23:28:45.497Z","Included","auto","No","0","23683","509952","4953","538588","0.19"
"2026-03-13T23:27:06.073Z","Included","auto","No","0","5749","223232","1627","230608","0.07"
"2026-03-13T23:24:04.861Z","Included","auto","No","0","14974","640512","8686","664172","0.23"
"2026-03-13T23:20:49.360Z","Included","auto","No","0","19184","443392","8898","471474","0.19"
"2026-03-13T23:14:26.057Z","Included","auto","No","0","32598","1651200","17018","1700816","0.56"
"2026-03-13T23:14:02.420Z","Errored, No Charge","auto","No","0","0","0","0","0","-"
"2026-03-13T23:09:42.283Z","Included","auto","No","0","7956","499200","2572","509728","0.15"
"2026-03-13T23:06:25.336Z","Included","auto","No","0","11193","1617920","5296","1634409","0.45"
"2026-03-13T23:04:38.076Z","Errored, No Charge","auto","No","0","7014","1068032","3737","1078783","-"
"2026-03-13T23:03:47.972Z","Included","auto","No","0","16998","577536","2636","597170","0.18"
"2026-03-13T23:00:41.966Z","Included","auto","No","0","4014","561664","2276","567954","0.16"
"2026-03-13T22:57:31.548Z","Included","auto","No","0","5363","547328","2270","554961","0.16"
"2026-03-13T22:54:01.342Z","Included","auto","No","0","6689","659968","3141","669798","0.19"
"2026-03-13T22:52:20.516Z","Included","auto","No","0","9379","509952","1258","520589","0.15"
"2026-03-13T22:49:50.250Z","Included","auto","No","0","10068","498176","2603","510847","0.15"
"2026-03-13T22:47:28.078Z","Included","auto","No","0","4169","361472","2549","368190","0.11"
"2026-03-13T22:44:39.055Z","Included","auto","No","0","10113","571904","6629","588646","0.20"
"2026-03-13T22:42:48.741Z","Included","auto","No","0","5168","432128","2651","439947","0.13"
"2026-03-13T22:40:20.337Z","Included","auto","No","0","4661","631296","1783","637740","0.17"
"2026-03-13T22:11:09.190Z","Included","auto","No","0","44671","1224704","11422","1280797","0.43"
"2026-03-13T22:10:45.084Z","Included","auto","No","0","144748","996352","5648","1146748","0.46"
"2026-03-13T22:07:51.780Z","Included","auto","No","0","11262","467456","2720","481438","0.15"
"2026-03-13T22:05:51.669Z","Included","auto","No","0","24423","565760","5072","595255","0.20"
"2026-03-13T22:01:27.460Z","Included","auto","No","0","49291","220160","2815","272266","0.13"
"2026-03-13T22:00:53.604Z","Included","auto","No","0","4206","92657","992","97855","0.03"
"2026-03-13T22:00:04.349Z","Included","auto","No","0","8033","111616","2615","122264","0.05"
"2026-03-13T21:58:27.871Z","Included","auto","No","0","10790","152576","3071","166437","0.07"
